company,website,contact_role,email,source_url,status,screen_recommendation,screen_reason,stage3_action
sipgate.de,https://sipgate.de,role,schlichtungsstelle-tk@bnetza.de,https://www.sipgate.de/impressum,collected,discard,third party / foreign / separate entity domain (bnetza.de),remove from CSV / do not assign
all-inkl.com,https://all-inkl.com,role,jugendschutz@all-inkl.com,https://all-inkl.com/impressum/,collected,discard,functional/non-decision-maker mailbox (jugendschutz),remove from CSV / do not assign
all-inkl.com,https://all-inkl.com,role,tco-kontaktstelle@all-inkl.com,https://all-inkl.com/impressum/,collected,discard,functional/non-decision-maker mailbox (tco-kontaktstelle),remove from CSV / do not assign
all-inkl.com,https://all-inkl.com,role,dsa-behoerdenkontaktstelle@all-inkl.com,https://all-inkl.com/impressum/,collected,discard,functional/non-decision-maker mailbox (dsa-behoerdenkontaktstelle),remove from CSV / do not assign
all-inkl.com,https://all-inkl.com,role,dsa-nutzerkontaktstelle@all-inkl.com,https://all-inkl.com/impressum/,collected,discard,functional/non-decision-maker mailbox (dsa-nutzerkontaktstelle),remove from CSV / do not assign
all-inkl.com,https://all-inkl.com,role,presse@all-inkl.com,https://all-inkl.com/presse/kontakt/,collected,discard,functional/non-decision-maker mailbox (presse),remove from CSV / do not assign
dogado.de,https://dogado.de,role,vertragsservice@websitebutler.de,https://www.dogado.de/legal/allgemeine-geschaeftsbedingungen,collected,discard,third party / foreign / separate entity domain (websitebutler.de),remove from CSV / do not assign
dogado.de,https://dogado.de,role,eu2021784@dogado.group,https://www.dogado.de/legal/impressum,collected,discard,functional/non-decision-maker mailbox (eu2021784),remove from CSV / do not assign
dogado.de,https://dogado.de,role,datenschutz@dogado.de,https://www.dogado.de/legal/datenschutz,collected,keep,DSB/security/sales-relevant mailbox,proceed to person lookup / role conversion at Stage 3
dogado.de,https://dogado.de,role,info@consentmanager.net,https://www.dogado.de/legal/datenschutz,collected,discard,third party / foreign / separate entity domain (consentmanager.net),remove from CSV / do not assign
manitu.de,https://manitu.de,role,buchhaltung@manitu.de,https://www.manitu.de/kontakt/e-mail/,collected,discard,functional/non-decision-maker mailbox (buchhaltung),remove from CSV / do not assign
manitu.de,https://manitu.de,role,presse@manitu.de,https://www.manitu.de/kontakt/e-mail/,collected,discard,functional/non-decision-maker mailbox (presse),remove from CSV / do not assign
manitu.de,https://manitu.de,role,jobs@manitu.de,https://www.manitu.de/kontakt/e-mail/,collected,discard,functional/non-decision-maker mailbox (jobs),remove from CSV / do not assign
manitu.de,https://manitu.de,role,jugendschutzbeauftragter@it-recht-kanzlei.de,https://www.manitu.de/impressum/,collected,discard,third party / foreign / separate entity domain (it-recht-kanzlei.de),remove from CSV / do not assign
manitu.de,https://manitu.de,role,noreply@manitu.net,https://www.manitu.de/impressum/,collected,discard,functional/non-decision-maker mailbox (noreply),remove from CSV / do not assign
shopware.com,https://shopware.com,role,legal@shopware.com,https://www.shopware.com/en/legal/dsa/,collected,discard,functional/non-decision-maker mailbox (legal),remove from CSV / do not assign
netplans.de,https://netplans.de,role,helpdesk@netplans.de,https://www.netplans.de/kontakt/,collected,discard,functional/non-decision-maker mailbox (helpdesk),remove from CSV / do not assign
netplans.de,https://netplans.de,role,info@netplans.ch,https://www.netplans.de/kontakt/,collected,discard,third party / foreign / separate entity domain (netplans.ch),remove from CSV / do not assign
comito.de,https://comito.de,role,info@comito-solutions.de,https://www.comito.de/impressum/,collected,discard,third party / foreign / separate entity domain (comito-solutions.de),remove from CSV / do not assign
suedvers.de,https://suedvers.de,role,info@profion.de,https://www.suedvers.de/impressum/,collected,discard,third party / foreign / separate entity domain (profion.de),remove from CSV / do not assign
suedvers.de,https://suedvers.de,role,info@bfcag.de,https://www.suedvers.de/impressum/,collected,discard,third party / foreign / separate entity domain (bfcag.de),remove from CSV / do not assign
suedvers.de,https://suedvers.de,role,beschwerde@suedvers.de,https://www.suedvers.de/impressum/,collected,discard,functional/non-decision-maker mailbox (beschwerde),remove from CSV / do not assign
rcu-versicherungsmakler.de,https://rcu-versicherungsmakler.de,role,service@koeln.ihk.de,https://www.rcu-versicherungsmakler.de/impressum/,collected,discard,third party / foreign / separate entity domain (koeln.ihk.de),remove from CSV / do not assign
rcu-versicherungsmakler.de,https://rcu-versicherungsmakler.de,role,gewerbeangelegenheiten@stadt-koeln.de,https://www.rcu-versicherungsmakler.de/impressum/,collected,discard,third party / foreign / separate entity domain (stadt-koeln.de),remove from CSV / do not assign
volk-partner.de,https://volk-partner.de,role,beschwerde@volk-partner.de,https://volk-partner.de/impressum,collected,discard,functional/non-decision-maker mailbox (beschwerde),remove from CSV / do not assign
meditech-sachsen.de,https://meditech-sachsen.de,role,Medizinproduktesicherheit@meditech-sachsen.de,https://www.meditech-sachsen.de/impressum,collected,discard,functional/non-decision-maker mailbox (medizinproduktesicherheit),remove from CSV / do not assign
medika.de,https://medika.de,role,info@blm.de,https://www.medika.de/impressum/,collected,discard,third party / foreign / separate entity domain (blm.de),remove from CSV / do not assign
medika.de,https://medika.de,role,info@medika-austria.at,https://www.medika.de/impressum/,collected,discard,third party / foreign / separate entity domain (medika-austria.at),remove from CSV / do not assign
teubert.de,https://teubert.de,role,g.marszalkowicz@gmail.com,https://teubert.de/kontakt/,collected,discard,third party / foreign / separate entity domain (gmail.com),remove from CSV / do not assign
teubert.de,https://teubert.de,role,erbi@erbi.fr,https://teubert.de/kontakt/,collected,discard,third party / foreign / separate entity domain (erbi.fr),remove from CSV / do not assign
teubert.de,https://teubert.de,role,borish@particlefoamservice.com,https://teubert.de/kontakt/,collected,discard,third party / foreign / separate entity domain (particlefoamservice.com),remove from CSV / do not assign
teubert.de,https://teubert.de,role,info@comercial-schneider.es,https://teubert.de/kontakt/,collected,discard,third party / foreign / separate entity domain (comercial-schneider.es),remove from CSV / do not assign
ebel-maschinenbau.de,https://ebel-maschinenbau.de,role,bestellungen@ebel-maschinenbau.de,https://ebel-maschinenbau.de/kontakt,collected,discard,functional/non-decision-maker mailbox (bestellungen),remove from CSV / do not assign
ebel-maschinenbau.de,https://ebel-maschinenbau.de,role,bewerbungen@ebel-maschinenbau.de,https://ebel-maschinenbau.de/kontakt,collected,discard,functional/non-decision-maker mailbox (bewerbungen),remove from CSV / do not assign
askin.co.at,https://askin.co.at,role,ASKIN@ASKIN.SK,https://askin.co.at/de_AT/kontakt/,collected,discard,third party / foreign / separate entity domain (askin.sk),remove from CSV / do not assign
askin.co.at,https://askin.co.at,role,askin@askin.cz,https://askin.co.at/de_AT/kontakt/,collected,discard,third party / foreign / separate entity domain (askin.cz),remove from CSV / do not assign
askin.co.at,https://askin.co.at,role,info@askin.ru,https://askin.co.at/de_AT/kontakt/,collected,discard,third party / foreign / separate entity domain (askin.ru),remove from CSV / do not assign
askin.co.at,https://askin.co.at,role,info@askin.uz,https://askin.co.at/de_AT/kontakt/,collected,discard,third party / foreign / separate entity domain (askin.uz),remove from CSV / do not assign
askin.co.at,https://askin.co.at,role,askin@askin.com.hk,https://askin.co.at/de_AT/kontakt/,collected,discard,third party / foreign / separate entity domain (askin.com.hk),remove from CSV / do not assign
kerkoc.com,https://kerkoc.com,role,DSGVO@kerkoc.at,https://kerkoc.com/impressum,collected,keep,DSB/security/sales-relevant mailbox,proceed to person lookup / role conversion at Stage 3
